city,lat,lng,population
Kamrup Metropolitan,26.05375,92.00763,1260419
Golmuri Cum Jugsalai,22.76365,86.31114,1260201
Barrackpur I,22.86213,88.41267,1259421
Chikkaballapur,13.55,77.87,1255104
Dombivali,19.21667,73.08333,1247327
Theni,9.85,77.42,1245899
Gird,26.21209,78.1451,1244392
Guna,24.55464,77.20082,1241519
Visakhapatnam Rural,17.77133,83.3075,1237963
Srīnagar,34.08333,74.83333,1236829
Karimganj,24.6,92.4,1228686
Baran,25.09,76.66,1222755
Virār,19.45591,72.81136,1222390
Lalitpur,24.5,78.5,1221592
Nabarangpur,19.2333,82.55,1220946
Nowrangapur,19.23114,82.54826,1220946
Gir Somnath,20.91287,70.3671,1217477
Korba,22.5,82.6,1206640
Dhaulpur,26.71183,77.73956,1206516
Srinagar,34.08565,74.80555,1206419
Ranjhi,23.16141,79.95882,1200521
Bhandara,21.18333,80,1200334
Pattanamtitta,9.28068,76.86967,1197412
Washim,20.2,77.2,1197160
Dhanbad,23.79759,86.42992,1196214
Dhenkānāl,20.75,85.5,1192811
Udupi,13.5,74.87,1177361
Hingoli,19.7,77.15,1177345
Mirzapur,25.10094,82.6257,1177317
Yadgir,16.73,76.94,1174271
Thirupparankundram,9.85536,78.06912,1165714
Varanasi,25.31668,83.01041,1164404
Rajsamand,25.23822,73.93503,1156597
Sibsāgar,26.91636,94.65546,1151050
Sahibganj,24.99354,87.67333,1150567
Jalandhar I,31.35034,75.66388,1145692
Ladpura,25.06264,75.88942,1143792
Vijayawada,16.50745,80.6466,1143232
Bhiwandi,19.36391,73.08027,1141386
Chikmagalur,13.49,75.73,1137961
Jagatsinghpur,20.2,86.3,1136971
Jhargram,22.45184,86.99448,1136548
Ambāla,30.32854,76.9422,1128350
Sidhi,24.25,82,1127033
Jehanabad,25.20701,84.99573,1125313
Dhampur,29.27823,78.5491,1123962
Ranchi,23.34316,85.3094,1120374
Tarn Taran,31.32692,74.81643,1119627
Shrawasti,27.50746,82.0047,1117361
Būndi,25.5,75.83333,1110906
Dadri,28.5438,77.50238,1110093
Idukki,10,77,1108974
Hamīrpur,25.75,80,1104285
Mizoram,23,93,1097206
Jorhat,26.8,94.26,1092256
Narsimhapur,22.91667,79.16667,1091854
Ramanagara,12.65,77.35,1082636
Anantnāg,33.83333,75.16667,1078692
Gadchiroli,19.8,80.2,1072942
Golaghat,26.4092,93.91193,1066888
Shahdol,23.5,81.5,1066063
Saraikela,22.83906,85.89594,1065056
Dwarka,28.60217,77.02081,1064928
Gadag,15.49835,75.65187,1064570
Karur,10.88,78.19,1064493
Visakhapatnam,17.68009,83.20161,1063178
Rohtak,28.83333,76.66667,1061204
Solapur North,17.7725,75.87721,1057352
Chandigarh,30.73006,76.78147,1055450
